Beer,Brewery,Style,abv,Country,Region,Ounces
Foster's Lager (Oil Can),Foster’s Group,Pale Lager ,4,Australia,,27
Affligem Tripel,Affligem Brouwerij,Tripel ,9,Belgium,,25
Chimay Bleue (Blue),Bières de Chimay ,Belgian Strong Ale ,9,Belgium,,11
Chimay Cinq Cents (White),Bières de Chimay ,Tripel ,8,Belgium,,11
Chimay Premiere (Red),Bières de Chimay ,Dubbel ,7,Belgium,,11
Hoegaarden White,Brouwerij van Hoegaarden,Witbier ,5,Belgium,,12
Lambic Framboise (Raspberry),Brouwerij Lindemans,Lambic - Fruit ,2.5,Belgium,,12
Lambic Pêche (Peach),Brouwerij Lindemans,Lambic - Fruit ,2.5,Belgium,,12
Orval Trappist,Brasserie d'Orval,Pale Ale - Belgian,6,Belgium,,12
Stella Artois,Stella Artois,Lager - Euro,5.2,Belgium,,12
Xingu,Heineken Brasil,Lager - Black,4.6,Brazil,,12
Labatt Blue,Labatt Brewing Company,Lager - North American Adjunct,5,Canada,,12
Moosehead Lager,Moosehead Breweries Limited,Lager - North American Adjunct,5,Canada,,12
Tsingtao,Tsingtao Brewery,Lager - Pale,4.7,China,,12
Pilsner Urquell,Plzeňský Prazdroj,Pilsner - Czech ,4.4,Czech Republic,,12
Boddington’s Pub Ale,Boddington’s Brewery,Brown Ale ,5,England,,12
Fuller's London Pride,"Fuller, Smith & Turner",English Pale Ale ,4.1,England,,11
Monty Python's Holy Grail Ale,Black Sheep Brewery,English Pale Ale ,4.7,England,,12
Newcastle Brown Ale,Tadcaster Brewery,Brown Ale ,4.7,England,,12
Sam Smith Nut Brown,Samuel Smith's Old Brewery,Brown Ale ,5,England,,12
Samuel Smith Oatmeal Stout,Samuel Smith's Old Brewery,Sweet Stout ,5,England,,16
Samuel Smith Pale Ale,Samuel Smith's Old Brewery,American Pale Ale ,5,England,,12
Samuel Smith Pure Brewed Lager,Samuel Smith's Old Brewery,Premium Lager ,5,England,,12
Samuel Smith Taddy Porter,Samuel Smith's Old Brewery,Porter ,5,England,,12
Samuel Smith's Imperial Stout,Samuel Smith's Old Brewery,Imperial Stout ,7,England,,12
Samuel Smith's Winter Welcome Ale,Samuel Smith's Old Brewery,Winter Warmer ,6,England,,12
Wells & Young's Double Chocolate Stout,Charles Wells Brewery,Sweet Stout,5.2,England,,14
Becks,Brauerei Beck,Pilsner - German,4.9,Germany,,12
Bitburger,Bitburger Braugruppe,Pilsner ,4.8,Germany,,12
Celebrator Doppelbock,Brauerei Aying,Doppelbock ,6.7,Germany,,12
Erdinger Crystal Hefe,Erdinger Weissbräu,Hefeweizen,5.3,Germany,,12
Franziskaner Hefe-Weissbier,Spaten-Franziskaner-Löwenbräu-Gruppe,German Hefeweizen ,5,Germany,,16
Konig Ludwig Weiss,König Ludwig Schlossbrauerei Kaltenberg,German Hefeweizen ,5.5,Germany,,12
Köstritzer Schwarzbier,Köstritzer Schwarzbierbrauerei,Schwarzbier ,4.8,Germany,,14
Leibinger Seeradler Clasik,Brauerei Max Leibinger,Radler,2.8,Germany,,12
Leibinger Zepplin,Brauerei Max Leibinger,Kellerbier / Zwickelbier,5.2,Germany,,12
Spaten Optimator,Spaten-Franziskaner-Löwenbräu-Gruppe,Doppelbock ,7.6,Germany,,14
Spaten Premium Lager,Spaten-Franziskaner-Löwenbräu-Gruppe,Premium Lager ,5.2,Germany,,12
St. Pauli Girl,Brauerei Beck,Premium Lager ,4.9,Germany,,12
Warsteiner Dunkel,Warsteiner,Lager - Dunkel Munich,4.8,Germany,,12
Warsteiner Premium ,Warsteiner,Pilsner - German,4.8,Germany,,12
Amstel Light,Amstel Bier,Pale Lager ,3.5,Holland,,12
Grolsch,Koninklijke Grolsch,Premium Lager ,5,Holland,,14
Heineken,Heineken,Lager - Euro,5,Holland,,12
Heineken Light,Heineken,Lager - Euro,3.2,Holland,,12
Taj Mahal,United Breweries (India),Lager - Pale,4.5,India,,14
Guinness,Guiness,Stout - Irish Dry,4.3,Ireland,,12
Harp Lager,Guinness,Lager - Euro,5,Ireland,,12
Murphy’s Irish Stout,Heineken Brewery Ireland,Stout - Irish Dry,4,Ireland,,12
Moretti,Birra Moretti,Pale Lager ,5,Italy,,12
Moretti La Rossa,Birra Moretti,Doppelbock ,7.2,Italy,,12
Peroni,Birra Peroni,Lager - Euro,5.1,Italy,,12
Red Stripe,Desnoes & Geddes,Lager - North American Adjunct,4.7,Jamaica,,12
Kirin,Kirin Brewery Company,Lager - Pale,4.95,Japan,,12
Sapporo Premium,Sapporo Breweries,Lager - Japanese Rice,4.7,Japan,,12
Carta Blanca,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,Lager - North American Adjunct,4.5,Mexico,,12
Corona Extra,Grupo Modelo S.A. de C.V.,Lager - North American Adjunct,4.6,Mexico,,12
Corona Light,Grupo Modelo S.A. de C.V.,Lager - North American Light,4,Mexico,,12
Dos Equis XX Amber,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,Lager - Vienna / Amber,4.7,Mexico,,12
Dos Equis XX Special Lager,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,Lager - North American Adjunct,4.45,Mexico,,12
Modelo Especial,Grupo Modelo S.A. de C.V.,Lager - North American Light,4.5,Mexico,,12
Negra Modelo,Grupo Modelo S.A. de C.V.,Lager - Vienna / Amber,5.3,Mexico,,12
Pacifico Clara,Grupo Modelo S.A. de C.V.,Lager - North American Adjunct,4.5,Mexico,,12
Tecate,Cervecería Cuauhtémoc Moctezuma S.A. de C.V.,Lager - North American Adjunct,4.5,Mexico,,12
Belhaven Scottish Ale,Belhaven Brewery,Scottish Ale ,5.2,Scotland,,12
Estrella Damm,Grupo Damm,Lager - North American Adjunct,5.4,Spain,,12
Abita Amber,Abita Brewing Company,Amber Lager/Vienna ,5,US,Louisiana,12
Abita Purple Haze,Abita Brewing Company,Fruit Beer ,4,US,Louisiana,12
Abita Turbodog,Abita Brewing Company,Brown Ale ,6,US,Louisiana,12
Anchor Liberty Ale,Anchor Brewing Company,IPA - American,5.9,US,California,12
